| X      	| Y      	| Y'     
| -100,00	| 1,506	| 0,862
| -99,50	| 1,858	| 0,514
| -99,00	| 1,999	| 0,040
| -98,50	| 1,896	| -0,444
| -98,00	| 1,573	| -0,819
| -97,50	| 1,110	| -0,994
| -97,00	| 0,620	| -0,925
| -96,50	| 0,223	| -0,630
| -96,00	| 0,016	| -0,180
| -95,50	| 0,050	| 0,313
| -95,00	| 0,317	| 0,730
| -94,50	| 0,750	| 0,968
| -94,00	| 1,245	| 0,969
| -93,50	| 1,680	| 0,733
| -93,00	| 1,948	| 0,317
| -92,50	| 1,984	| -0,176
| -92,00	| 1,779	| -0,626
| -91,50	| 1,384	| -0,923
| -91,00	| 0,894	| -0,994
| -90,50	| 0,430	| -0,822
| -90,00	| 0,106	| -0,448
| -89,50	| 0,001	| 0,035
| -89,00	| 0,140	| 0,510
| -88,50	| 0,490	| 0,860
| -88,00	| 0,965	| 0,999
| -87,50	| 1,448	| 0,894
| -87,00	| 1,822	| 0,570
| -86,50	| 1,994	| 0,106
| -86,00	| 1,923	| -0,384
| -85,50	| 1,626	| -0,779
| -85,00	| 1,176	| -0,984
| -84,50	| 0,683	| -0,948
| -84,00	| 0,267	| -0,680
| -83,50	| 0,031	| -0,245
| -83,00	| 0,032	| 0,250
| -82,50	| 0,270	| 0,683
| -82,00	| 0,687	| 0,950
| -81,50	| 1,180	| 0,984
| -81,00	| 1,630	| 0,777
| -80,50	| 1,925	| 0,380
| -80,00	| 1,994	| -0,110
| -79,50	| 1,819	| -0,573
| -79,00	| 1,444	| -0,896
| -78,50	| 0,960	| -0,999
| -78,00	| 0,486	| -0,858
| -77,50	| 0,138	| -0,506
| -77,00	| 0,000	| -0,031
| -76,50	| 0,108	| 0,452
| -76,00	| 0,434	| 0,824
| -75,50	| 0,898	| 0,995
| -75,00	| 1,388	| 0,922
| -74,50	| 1,782	| 0,623
| -74,00	| 1,985	| 0,172
| -73,50	| 1,947	| -0,322
| -73,00	| 1,677	| -0,736
| -72,50	| 1,241	| -0,971
| -72,00	| 0,746	| -0,967
| -71,50	| 0,314	| -0,727
| -71,00	| 0,049	| -0,309
| -70,50	| 0,017	| 0,185
| -70,00	| 0,226	| 0,633
| -69,50	| 0,624	| 0,927
| -69,00	| 1,115	| 0,993
| -68,50	| 1,577	| 0,817
| -68,00	| 1,898	| 0,440
| -67,50	| 1,999	| -0,044
| -67,00	| 1,856	| -0,518
| -66,50	| 1,503	| -0,865
| -66,00	| 1,027	| -1,000
| -65,50	| 0,544	| -0,890
| -65,00	| 0,173	| -0,562
| -64,50	| 0,005	| -0,097
| -64,00	| 0,080	| 0,392
| -63,50	| 0,380	| 0,785
| -63,00	| 0,833	| 0,986
| -62,50	| 1,326	| 0,945
| -62,00	| 1,739	| 0,674
| -61,50	| 1,972	| 0,237
| -61,00	| 1,966	| -0,258
| -60,50	| 1,724	| -0,690
| -60,00	| 1,305	| -0,952
| -59,50	| 0,811	| -0,982
| -59,00	| 0,363	| -0,771
| -58,50	| 0,072	| -0,371
| -58,00	| 0,007	| 0,119
| -57,50	| 0,186	| 0,581
| -57,00	| 0,564	| 0,900
| -56,50	| 1,049	| 0,999
| -56,00	| 1,522	| 0,853
| -55,50	| 1,867	| 0,499
| -55,00	| 2,000	| 0,022
| -54,50	| 1,888	| -0,460
| -54,00	| 1,559	| -0,829
| -53,50	| 1,093	| -0,996
| -53,00	| 0,604	| -0,918
| -52,50	| 0,212	| -0,616
| -52,00	| 0,013	| -0,163
| -51,50	| 0,056	| 0,330
| -51,00	| 0,330	| 0,742
| -50,50	| 0,768	| 0,973
| -50,00	| 1,262	| 0,965
| -49,50	| 1,693	| 0,721
| -49,00	| 1,954	| 0,301
| -48,50	| 1,981	| -0,193
| -48,00	| 1,768	| -0,640
| -47,50	| 1,367	| -0,930
| -47,00	| 0,876	| -0,992
| -46,50	| 0,416	| -0,812
| -46,00	| 0,098	| -0,432
| -45,50	| 0,001	| 0,053
| -45,00	| 0,149	| 0,525
| -44,50	| 0,505	| 0,869
| -44,00	| 0,982	| 1,000
| -43,50	| 1,464	| 0,886
| -43,00	| 1,832	| 0,555
| -42,50	| 1,996	| 0,088
| -42,00	| 1,917	| -0,400
| -41,50	| 1,613	| -0,790
| -41,00	| 1,159	| -0,987
| -40,50	| 0,666	| -0,943
| -40,00	| 0,255	| -0,667
| -39,50	| 0,026	| -0,228
| -39,00	| 0,036	| 0,267
| -38,50	| 0,282	| 0,696
| -38,00	| 0,704	| 0,955
| -37,50	| 1,198	| 0,980
| -37,00	| 1,644	| 0,765
