| X      	| Y      	| Y'     
| -10,00	| 1,544	| -0,839
| -9,80	| 1,366	| -0,930
| -9,60	| 1,174	| -0,985
| -9,40	| 0,975	| -1,000
| -9,20	| 0,777	| -0,975
| -9,00	| 0,588	| -0,911
| -8,80	| 0,415	| -0,811
| -8,60	| 0,266	| -0,679
| -8,40	| 0,145	| -0,519
| -8,20	| 0,059	| -0,339
| -8,00	| 0,011	| -0,146
| -7,80	| 0,001	| 0,054
| -7,60	| 0,032	| 0,251
| -7,40	| 0,101	| 0,439
| -7,20	| 0,206	| 0,608
| -7,00	| 0,343	| 0,754
| -6,80	| 0,506	| 0,869
| -6,60	| 0,688	| 0,950
| -6,40	| 0,883	| 0,993
| -6,20	| 1,083	| 0,997
| -6,00	| 1,279	| 0,960
| -5,80	| 1,465	| 0,886
| -5,60	| 1,631	| 0,776
| -5,40	| 1,773	| 0,635
| -5,20	| 1,883	| 0,469
| -5,00	| 1,959	| 0,284
| -4,80	| 1,996	| 0,087
| -4,60	| 1,994	| -0,112
| -4,40	| 1,952	| -0,307
| -4,20	| 1,872	| -0,490
| -4,00	| 1,757	| -0,654
| -3,80	| 1,612	| -0,791
| -3,60	| 1,443	| -0,897
| -3,40	| 1,256	| -0,967
| -3,20	| 1,058	| -0,998
| -3,00	| 0,859	| -0,990
| -2,80	| 0,665	| -0,942
| -2,60	| 0,484	| -0,857
| -2,40	| 0,325	| -0,737
| -2,20	| 0,192	| -0,589
| -2,00	| 0,091	| -0,416
| -1,80	| 0,026	| -0,227
| -1,60	| 0,000	| -0,029
| -1,40	| 0,015	| 0,170
| -1,20	| 0,068	| 0,362
| -1,00	| 0,159	| 0,540
| -0,80	| 0,283	| 0,697
| -0,60	| 0,435	| 0,825
| -0,40	| 0,611	| 0,921
| -0,20	| 0,801	| 0,980
| 0,00	| 1,000	| 1,000
| 0,20	| 1,199	| 0,980
| 0,40	| 1,389	| 0,921
| 0,60	| 1,565	| 0,825
| 0,80	| 1,717	| 0,697
| 1,00	| 1,841	| 0,540
| 1,20	| 1,932	| 0,362
| 1,40	| 1,985	| 0,170
| 1,60	| 2,000	| -0,029
| 1,80	| 1,974	| -0,227
| 2,00	| 1,909	| -0,416
| 2,20	| 1,808	| -0,589
| 2,40	| 1,675	| -0,737
| 2,60	| 1,516	| -0,857
| 2,80	| 1,335	| -0,942
| 3,00	| 1,141	| -0,990
| 3,20	| 0,942	| -0,998
| 3,40	| 0,744	| -0,967
| 3,60	| 0,557	| -0,897
| 3,80	| 0,388	| -0,791
| 4,00	| 0,243	| -0,654
| 4,20	| 0,128	| -0,490
| 4,40	| 0,048	| -0,307
| 4,60	| 0,006	| -0,112
| 4,80	| 0,004	| 0,087
| 5,00	| 0,041	| 0,284
| 5,20	| 0,117	| 0,469
| 5,40	| 0,227	| 0,635
| 5,60	| 0,369	| 0,776
| 5,80	| 0,535	| 0,886
| 6,00	| 0,721	| 0,960
| 6,20	| 0,917	| 0,997
| 6,40	| 1,117	| 0,993
| 6,60	| 1,312	| 0,950
| 6,80	| 1,494	| 0,869
| 7,00	| 1,657	| 0,754
| 7,20	| 1,794	| 0,608
| 7,40	| 1,899	| 0,439
| 7,60	| 1,968	| 0,251
| 7,80	| 1,999	| 0,054
| 8,00	| 1,989	| -0,146
| 8,20	| 1,941	| -0,339
| 8,40	| 1,855	| -0,519
| 8,60	| 1,734	| -0,679
| 8,80	| 1,585	| -0,811
| 9,00	| 1,412	| -0,911
| 9,20	| 1,223	| -0,975
| 9,40	| 1,025	| -1,000
| 9,60	| 0,826	| -0,985
| 9,80	| 0,634	| -0,930
| 10,00	| 0,456	| -0,839
| 10,20	| 0,300	| -0,714
| 10,40	| 0,172	| -0,561
| 10,60	| 0,077	| -0,385
| 10,80	| 0,019	| -0,194
| 11,00	| 0,000	| 0,004
| 11,20	| 0,021	| 0,203
| 11,40	| 0,081	| 0,393
| 11,60	| 0,177	| 0,568
| 11,80	| 0,306	| 0,720
| 12,00	| 0,463	| 0,844
| 12,20	| 0,642	| 0,934
| 12,40	| 0,834	| 0,986
| 12,60	| 1,034	| 0,999
| 12,80	| 1,232	| 0,973
| 13,00	| 1,420	| 0,907
| 13,20	| 1,592	| 0,806
| 13,40	| 1,740	| 0,672
| 13,60	| 1,859	| 0,512
| 13,80	| 1,944	| 0,331
| 14,00	| 1,991	| 0,137
| 14,20	| 1,998	| -0,063
| 14,40	| 1,966	| -0,260
| 14,60	| 1,895	| -0,446
| 14,80	| 1,788	| -0,615
| 15,00	| 1,650	| -0,760
| 15,20	| 1,486	| -0,874
| 15,40	| 1,303	| -0,953
| 15,60	| 1,108	| -0,994
| 15,80	| 0,908	| -0,996
| 16,00	| 0,712	| -0,958
| 16,20	| 0,528	| -0,881
| 16,40	| 0,362	| -0,770
| 16,60	| 0,222	| -0,628
| 16,80	| 0,112	| -0,461
| 17,00	| 0,039	| -0,275
| 17,20	| 0,003	| -0,079
| 17,40	| 0,007	| 0,121
| 17,60	| 0,051	| 0,316
| 17,80	| 0,133	| 0,498
| 18,00	| 0,249	| 0,660
| 18,20	| 0,395	| 0,796
| 18,40	| 0,565	| 0,901
| 18,60	| 0,753	| 0,969
| 18,80	| 0,950	| 0,999
| 19,00	| 1,150	| 0,989
| 19,20	| 1,343	| 0,939
| 19,40	| 1,523	| 0,852
| 19,60	| 1,682	| 0,731
| 19,80	| 1,814	| 0,581
| 20,00	| 1,913	| 0,408
| Кількість елементів,  0,5 < y < 1: 27
| Найбільше значення: 2,000
| Найменше значення: 0,000
